邵氏经典,#genre#
满意不满意(1963),https://c1.rrcdnbf2.com/video/manyibumanyi/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://yzzy.play-cdn8.com/20220707/2216_3e624eae/index.m3u8
冒名顶替(1987),https://yzzy.play-cdn11.com/20221115/8404_a6f2f87d/2000k/hls/mixed.m3u8
玫瑰楼迷影(1993),https://vip.ffzy-play6.com/20221113/6641_11c0b209/index.m3u8#https://play.xluuss.com/play/mepYGvQa/index.m3u8
梅山奇案(1985),https://vip.lz-cdn16.com/20230720/32470_ae92f63f/2000k/hls/mixed.m3u8#https://cdn.yzzy31-play.com/20251114/6372_5ef78f63/index.m3u8
煤店新工人(1965),https://vip.ffzy-play6.com/20221128/9059_a87495de/index.m3u8#https://c1.rrcdnbf2.com/video/meidianxingongren/HD%E5%9B%BD%E8%AF%AD/index.m3u8
迷人的乐队(1985),https://play.maoyanplay.top/jqp/4D3YQR55/hls/index.m3u8#https://play.xluuss.com/play/9aA6QEOb/index.m3u8
秘密图纸(1965),https://c1.rrcdnbf3.com/video/mimituzhi1965/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/bkSwmxEnSe2/video/index.m3u8
苗苗(1980),https://play.maoyanplay.top/jqp/LKyqVRar/hls/index.m3u8#https://s1.bfllvip.com/video/miaomiao1980/65ed2f09a190/index.m3u8
冥王星行动(1992),https://yzzy.play-cdn11.com/20221115/8406_91ce5606/index.m3u8
魔术师的奇遇(1962),https://hn.bfvvs.com/play/DbDqwLqd/index.m3u8#https://play.xluuss.com/play/RdGRwO8b/index.m3u8
陌生的朋友(1982),https://c1.rrcdnbf6.com/video/moshengdepengyou/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://play.xluuss.com/play/qaQkNo5d/index.m3u8
哪吒闹海(1979),https://vip.lz-cdn2.com/20220319/102_bc959cd3/1200k/hls/mixed.m3u8#https://play.xluuss.com/play/Ddw0n91e/index.m3u8
年青的一代(1965),https://vip.lzcdn2.com/20220423/4171_2c8ac3ed/1200k/hls/mixed.m3u8#https://c1.rrcdnbf2.com/video/nianqingdeyidai/HD%E5%9B%BD%E8%AF%AD/index.m3u8
牛角石(1976),https://v.gsuus.com/play/oeER88Wa/index.m3u8#https://play.xluuss.com/play/RdG6vvKb/index.m3u8
女绑架者(1990),https://cdn.yzzy29-play.com/20251119/8988_f490c742/index.m3u8
女大学生宿舍(1983),https://bfikuncdn.com/20221223/R7rcUft4/2000kb/hls/index.m3u8#https://v.cdnlz19.com/20241016/50288_dc57ac78/index.m3u8
女理发师(1962),https://vip.lzcdn2.com/20220425/4538_53b74946/index.m3u8#https://play.maoyanplay.top/jqp/BL6z8mIv/index.m3u8
女模特的风波(1989),https://c1.ddbbffcdn.com/video/replacexxx0810/20240925qPut8qiVindex.m3u8/index.m3u8#https://play.xluuss.com/play/rb2rlMbW/index.m3u8
女模特之死(1987),https://v.cdnlz19.com/20241002/48559_8eb50348/2000k/hls/mixed.m3u8
女跳水队员(1964),https://tyyszywvod5.com/videos/202503/13/67d1bac4b25ae5115453563d/e89a90/index.m3u8#https://play.xluuss.com/play/rb28ORje/index.m3u8
哦,香雪(1990),https://hn.bfvvs.com/play/QeZ6ZOJe/index.m3u8
磐石湾(1975),https://v.gsuus.com/play/kazpvo7d/index.m3u8#https://play.xluuss.com/play/9aADNx1e/index.m3u8
霹雳贝贝(1988),https://c1.rrcdnbf4.com/video/pilibeibei/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://hd.ijycnd.com/play/negZ7Ddw/index.m3u8
棋王(1988),https://v1.qrssuv.com/wjv1/202308/19/wuiuNYbCtT2/video/index.m3u8#https://vip1.lz-cdn1.com/20220413/1836_53f44ba7/index.m3u8
千万不要忘记(1964),https://vip1.lz-cdn1.com/20220422/2894_c4c415f5/index.m3u8#https://c1.rrcdnbf2.com/video/qianwanbuyaowangji/HD%E5%9B%BD%E8%AF%AD/index.m3u8
潜网(1981),https://hd.ijycnd.com/play/vbmq943b/index.m3u8#https://vip1.lz-cdn1.com/20220413/1839_415840f5/index.m3u8
羌笛颂(1960),https://tyyszywvod5.com/videos/202504/09/67d069233a1ad3c00c4129a2/ea6812/index.m3u8
枪,从背后打来(1987),https://c1.ddbbffcdn.com/video/qiangcongbeihoudalai/HD%E4%B8%AD%E5%AD%97/index.m3u8
瞧这一家子(1979),https://v1.qrssuv.com/wjv1/202308/20/PCRAs34cJY2/video/index.m3u8#https://cdn.yzzy31-play.com/20251026/3974_9a32ff36/index.m3u8
青春祭(1985),https://c1.rrcdnbf2.com/video/qingchunji/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.qrssuv.com/wjv1/202308/19/Xg2RhHUE7b2/video/index.m3u8
青春似火(1976),https://v.gsuus.com/play/kaz6grya/index.m3u8#https://c1.rrcdnbf6.com/video/qingchunsihuo/HD%E5%9B%BD%E8%AF%AD/index.m3u8
青春万岁(1983),https://play.maoyanplay.top/jqp/pOb5oPDU/hls/index.m3u8
青年鲁班(1964),https://tyyszywvod5.com/videos/202503/12/67d15bde582cdc10c414af05/7ebf4a/index.m3u8#https://vip.lz-cdn3.com/20230221/17811_b3e4baf3/index.m3u8
清水湾,淡水湾(1984),https://hd.ijycnd.com/play/QbY7PgYe/index.m3u8
球迷(1963),https://v.gsuus.com/play/wdL7n0pb/index.m3u8#https://hd.ijycnd.com/play/0dNLpXma/index.m3u8
泉水叮咚(1982),https://v8.qrssuv.com/wjv8/202312/13/500HRThQF31/video/index.m3u8#https://b2.bdzybf22.com/videos/202505/27/682274a3b84e8e23db7a6ee4/3304be/index.m3u8
三宝闹深圳(1988),https://c1.rrcdnbf2.com/video/sanbaonaoshenzhen/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://v1.fentvoss.com/yyv1/202308/19/ee4G1TegDW2/video/2000k_1080/hls/index.m3u8
三对半情侣和一个小偷(1989),https://yzzy.play-cdn11.com/20221111/6656_a293eab0/2000k/hls/mixed.m3u8
山村会计 (1965),https://v.gsuus.com/play/Qe168Kma/index.m3u8#https://play.xluuss.com/play/rb285Lze/index.m3u8
哎哟,哥哥(1987),https://v8.yuglf.com/202312/09/VZsktxCtDf1/video/index.m3u8#https://v8.qrssuv.com/wjv8/202312/09/VZsktxCtDf1/video/index.m3u8
山村姐妹(1965),https://vip.ffzy-play6.com/20221128/9105_0db4959c/3000k/hls/mixed.m3u8#https://c1.rrcdnbf2.com/video/shancunjiemei/HD%E5%9B%BD%E8%AF%AD/index.m3u8
珊瑚岛上的死光(1980),https://c1.rrcdnbf2.com/video/shanhudaoshangdesiguang/HD%E5%9B%BD%E8%AF%AD/index.m3u8#https://play.xluuss.com/play/mepZMQ6b/index.m3u8
少林寺(1982),https://vip1.lz-cdn7.com/20230124/13737_03bd1d60/index.m3u8
少年犯(1985),https://vv.jisuzyv.com/play/wdLpkmrd/index.m3u8#https://play.xluuss.com/play/RdGkONJd/index.m3u8
少爷的磨难(1987),https://play.maoyanplay.top/jqp/3h0H45uQ/hls/index.m3u8#https://v1.fentvoss.com/yyv1/202308/19/mHai9jr44G2/video/2000k_1080/hls/index.m3u8
蛇案(1983),https://v.cdnlz19.com/20241002/48560_c1e22e7b/index.m3u8#https://v3.qrssuv.com/wjv3/202312/17/7qjYN7dVzm2/video/index.m3u8
青山恋(1964),https://tyyszywvod5.com/videos/202503/27/67d1f93fb25ae5115458eb12/0g6g3e/index.m3u8
神鞭(1986),https://play.maoyanplay.top/20231210/z0XKkEOr/hls/index.m3u8#https://v.cdnlz19.com/20240914/44724_e240f2d8/index.m3u8
神捕铁中英(1991),https://vip.ffzy-play6.com/20221112/6041_792ab3d7/index.m3u8#https://play.maoyanplay.top/jqp/mNynQRkE/index.m3u8
